order_id,date,sku,title,category,color,qty,unit_price,revenue,cost,profit,margin,shipping_fee,shipping_cost,coupon_discount,ad_spend,ad_impressions,ad_clicks,channel,payment,installments_count,status,views,stock,state,city
MLB2026-000014,2026-02-19,CAP-RN13-TPU,Capa Redmi Note 13 TPU Cristal,TPU,Transparente,2,14.9,29.8,12.4,17.4,58.4,0.0,0.0,0.0,0.0,0,0,Orgânico,Pix,,Concluída,39,228,GO,Goiânia
MLB2026-000015,2026-02-19,CAP-RN13-TPU,Capa Redmi Note 13 TPU Cristal,TPU,Transparente,1,14.9,14.9,6.65,-2.05,-13.8,12.9,9.03,0.0,1.27,1989,18,Anúncios,Cartão de crédito,,Concluída,39,227,PE,Recife
MLB2026-000016,2026-02-19,CAP-R12-SIL,Capa realme 12 Silicone Fosca,Silicone,Branco,1,20.9,20.9,8.82,12.08,57.8,0.0,0.0,0.0,0.0,0,0,Orgânico,Cartão de crédito,,Enviada,42,210,MG,Contagem
MLB2026-000017,2026-02-19,CAP-ME50-COU,Capa Moto Edge 50 Couro Sintético,Couro,Marrom,2,59.9,119.8,45.52,74.28,62.0,0.0,0.0,0.0,0.0,0,0,Orgânico,Pix,,Concluída,4,72,BA,Feira de Santana
MLB2026-000018,2026-02-19,CAP-IP15-PLU,Capa iPhone 15 Pelúcia Colorida,Pelúcia,Rosa,1,39.9,39.9,17.04,22.86,57.3,0.0,0.0,0.0,0.0,0,0,Orgânico,Cartão de crédito,9,Concluída,47,157,RS,Canoas
MLB2026-000019,2026-02-19,CAP-IP15-PLU,Capa iPhone 15 Pelúcia Colorida,Pelúcia,Rosa,1,39.9,39.9,17.64,10.17,25.5,12.9,9.03,3.06,0.0,0,0,Orgânico,Pix,,Concluída,47,156,GO,Goiânia
MLB2026-000020,2026-02-19,CAP-GA55-SUP,Capa Galaxy A55 com Suporte e Anel,Com Suporte,Preto,1,35.9,35.9,15.34,20.56,57.3,0.0,0.0,0.0,0.0,0,0,Orgânico,Cartão de crédito,,Concluída,3,84,AM,Manaus
MLB2026-000021,2026-02-19,CAP-GS25-SIL,Capa Galaxy S25 Ultra Silicone MagSafe,MagSafe,Preto,1,54.9,54.9,22.85,32.05,58.4,0.0,0.0,0.0,0.0,0,0,Orgânico,Pix,,Concluída,69,40,RJ,Duque de Caxias
MLB2026-000022,2026-02-19,CAP-MG85-TPU,Capa Moto G85 TPU Cinza,TPU,Cinza,1,16.9,16.9,7.97,8.93,52.8,0.0,0.0,0.0,0.0,0,0,Orgânico,Pix,,Concluída,37,56,BA,Feira de Santana
MLB2026-000023,2026-02-19,CAP-R13C-SIL,Capa Redmi 13C Silicone Azul,Silicone,Azul,1,17.9,17.9,8.57,-8.0,-44.7,19.9,13.93,0.0,3.4,1834,10,Anúncios,Cartão de crédito,,Enviada,26,67,MG,Juiz de Fora
MLB2026-000024,2026-02-19,CAP-R13C-SIL,Capa Redmi 13C Silicone Azul,Silicone,Azul,1,17.9,17.9,8.73,-6.49,-36.3,19.9,13.93,0.0,1.73,624,7,Anúncios,Cartão de crédito,,Enviada,26,66,MG,Contagem
MLB2026-000025,2026-02-19,CAP-R13C-SIL,Capa Redmi 13C Silicone Azul,Silicone,Azul,1,17.9,17.9,7.98,9.92,55.4,0.0,0.0,0.0,0.0,0,0,Orgânico,Pix,,Concluída,26,65,SP,São Paulo
MLB2026-000026,2026-02-20,CAP-IP15-SIL,Capa de Celular iPhone 15 Silicone Fosca,Silicone,Preto,1,24.9,24.9,11.13,4.74,19.0,12.9,9.03,0.0,0.0,0,0,Orgânico,Pix,,Concluída,39,99,MA,Imperatriz
MLB2026-000027,2026-02-20,CAP-IP13-SIL,Capa iPhone 13 Silicone Colorida,Silicone,Rosa,1,21.9,21.9,8.34,13.56,61.9,0.0,0.0,0.0,0.0,0,0,Orgânico,Pix,,Concluída,67,243,SP,Osasco
MLB2026-000028,2026-02-20,CAP-GA55-CRI,Capa Galaxy A55 Cristal Ultra Fino,Cristal,Transparente,1,26.9,26.9,13.28,-3.46,-12.9,19.9,13.93,0.0,3.15,2026,36,Anúncios,Pix,,Concluída,43,142,SP,Osasco
MLB2026-000029,2026-02-20,CAP-GA55-CRI,Capa Galaxy A55 Cristal Ultra Fino,Cristal,Transparente,1,26.9,26.9,9.6,17.3,64.3,0.0,0.0,0.0,0.0,0,0,Orgânico,Cartão de crédito,3,Concluída,43,141,SP,São Paulo
MLB2026-000030,2026-02-20,CAP-GA54-TPU,Capa Galaxy A54 TPU Antirrisco,TPU,Cinza,1,15.9,15.9,6.95,-4.98,-31.3,19.9,13.93,0.0,0.0,0,0,Orgânico,Cartão de crédito,9,Concluída,13,182,MG,Juiz de Fora
MLB2026-000031,2026-02-20,CAP-GA56-MAG,Capa Galaxy A56 com MagSafe,MagSafe,Roxo,1,47.9,47.9,18.63,25.8,53.9,0.0,0.0,0.0,3.47,1148,18,Anúncios,Cartão de crédito,,Concluída,31,91,PE,Olinda
MLB2026-000032,2026-02-20,CAP-RN14-SIL,Capa Redmi Note 14 Silicone,Silicone,Preto,1,18.9,18.9,7.13,11.77,62.3,0.0,0.0,0.0,0.0,0,0,Orgânico,Pix,,Concluída,44,139,SP,Guarulhos
MLB2026-000033,2026-02-20,CAP-MG84-TPU,Capa Moto G84 TPU Transparente,TPU,Transparente,1,15.9,15.9,7.16,-9.44,-59.4,19.9,13.93,0.0,4.25,3073,53,Anúncios,Pix,,Concluída,32,172,SP,Osasco
MLB2026-000034,2026-02-20,CAP-ME50-COU,Capa Moto Edge 50 Couro Sintético,Couro,Marrom,1,59.9,59.9,25.33,34.57,57.7,0.0,0.0,0.0,0.0,0,0,Orgânico,Cartão de crédito,3,Concluída,14,71,GO,Aparecida de Goiânia
MLB2026-000035,2026-02-20,CAP-GS25-SIL,Capa Galaxy S25 Ultra Silicone MagSafe,MagSafe,Preto,1,54.9,54.9,20.68,34.22,62.3,0.0,0.0,0.0,0.0,0,0,Orgânico,Cartão de crédito,12,Concluída,71,39,MG,Uberlândia
MLB2026-000036,2026-02-20,CAP-MG84-SUP,Capa Moto G84 com Suporte,Com Suporte,Preto,1,29.9,29.9,13.06,16.22,54.2,0.0,0.0,0.62,0.0,0,0,Orgânico,Pix,,Concluída,7,193,DF,Brasília
MLB2026-000037,2026-02-20,CAP-RN14-PLU,Capa Redmi Note 14 Pelúcia,Pelúcia,Rosa,1,32.9,32.9,13.19,4.92,15.0,19.9,13.93,0.86,0.0,0,0,Orgânico,Cartão de crédito,6,Enviada,17,42,PE,Caruaru
MLB2026-000038,2026-02-20,CAP-GS24-COU,Capa Galaxy S24 Couro Premium,Couro,Preto,1,64.9,64.9,31.84,28.51,43.9,0.0,0.0,4.55,0.0,0,0,Orgânico,Cartão de crédito,,Cancelada,9,195,SP,São Paulo
MLB2026-000039,2026-02-20,CAP-GS24-COU,Capa Galaxy S24 Couro Premium,Couro,Preto,1,64.9,64.9,25.51,36.14,55.7,0.0,0.0,3.25,0.0,0,0,Orgânico,Pix,,Concluída,9,194,RS,Caxias do Sul
MLB2026-000040,2026-02-20,CAP-IP15-AGU,Capa iPhone 15 À Prova d'Água,À Prova d'Água,Preto,1,57.9,57.9,23.59,34.31,59.3,0.0,0.0,0.0,0.0,0,0,Orgânico,Cartão de crédito,,Concluída,30,124,CE,Juazeiro do Norte
MLB2026-000041,2026-02-20,CAP-GA54-SIL,Capa Galaxy A54 Silicone Vermelho,Silicone,Vermelho,1,18.9,18.9,7.34,11.56,61.2,0.0,0.0,0.0,0.0,0,0,Orgânico,Cartão de débito,,Concluída,32,206,SP,São Paulo
MLB2026-000042,2026-02-21,CAP-IP15-SIL,Capa de Celular iPhone 15 Silicone Fosca,Silicone,Preto,1,24.9,24.9,10.74,5.13,20.6,12.9,9.03,0.0,0.0,0,0,Orgânico,Pix,,Concluída,64,98,MG,Belo Horizonte
MLB2026-000043,2026-02-21,CAP-IP15-SIL,Capa de Celular iPhone 15 Silicone Fosca,Silicone,Preto,1,24.9,24.9,11.7,12.46,50.0,0.0,0.0,0.74,0.0,0,0,Orgânico,Cartão de crédito,3,Concluída,64,97,ES,Serra
MLB2026-000044,2026-02-21,CAP-IP15-CRI,Capa iPhone 15 Acrílico Cristal Transparente,Cristal,Transparente,1,29.9,29.9,11.63,4.34,14.5,19.9,13.93,0.0,0.0,0,0,Orgânico,Cartão de débito,,Concluída,85,40,RJ,Duque de Caxias
MLB2026-000045,2026-02-21,CAP-IP12-TPU,Capa iPhone 12 TPU Transparente,TPU,Transparente,1,16.9,16.9,7.67,9.23,54.6,0.0,0.0,0.0,0.0,0,0,Orgânico,Cartão de crédito,,Concluída,28,71,SC,Chapecó
MLB2026-000046,2026-02-21,CAP-IP12-TPU,Capa iPhone 12 TPU Transparente,TPU,Transparente,1,16.9,16.9,6.15,-4.88,-28.9,19.9,13.93,0.0,1.7,2703,42,Anúncios,Cartão de crédito,6,Enviada,28,70,SP,São Paulo
MLB2026-000047,2026-02-21,CAP-IP11-SIL,Capinha iPhone 11 Silicone Antichoque,Silicone,Preto,1,15.9,15.9,6.26,-4.29,-27.0,19.9,13.93,0.0,0.0,0,0,Orgânico,Cartão de crédito,,Cancelada,19,69,MG,Contagem
MLB2026-000048,2026-02-21,CAP-IP11-SIL,Capinha iPhone 11 Silicone Antichoque,Silicone,Preto,1,15.9,15.9,7.07,-5.1,-32.1,19.9,13.93,0.0,0.0,0,0,Orgânico,Pix,,Concluída,19,68,BA,Salvador
MLB2026-000049,2026-02-21,CAP-GA56-MAG,Capa Galaxy A56 com MagSafe,MagSafe,Roxo,1,47.9,47.9,19.31,24.19,50.5,0.0,0.0,0.0,4.4,831,21,Anúncios,Cartão de crédito,,Concluída,21,90,ES,Vitória
MLB2026-000050,2026-02-21,CAP-GS24-SIL,Capa Galaxy S24 Silicone com Anel,Silicone,Azul,1,29.9,29.9,12.1,1.21,4.0,19.9,13.93,0.0,2.66,1367,16,Anúncios,Pix,,Concluída,24,170,SP,Campinas
MLB2026-000051,2026-02-21,CAP-GS24-SIL,Capa Galaxy S24 Silicone com Anel,Silicone,Azul,1,29.9,29.9,13.99,15.91,53.2,0.0,0.0,0.0,0.0,0,0,Orgânico,Cartão de crédito,9,Concluída,24,169,RJ,Campos dos Goytacazes
MLB2026-000052,2026-02-21,CAP-RN14-SIL,Capa Redmi Note 14 Silicone,Silicone,Preto,1,18.9,18.9,6.88,2.99,15.8,12.9,9.03,0.0,0.0,0,0,Orgânico,Cartão de crédito,3,Concluída,27,138,SP,São Bernardo do Campo
MLB2026-000053,2026-02-21,CAP-RN13-TPU,Capa Redmi Note 13 TPU Cristal,TPU,Transparente,1,14.9,14.9,5.36,9.54,64.0,0.0,0.0,0.0,0.0,0,0,Orgânico,Pix,,Concluída,19,226,SP,Campinas
MLB2026-000054,2026-02-21,CAP-RN13-TPU,Capa Redmi Note 13 TPU Cristal,TPU,Transparente,1,14.9,14.9,5.35,-8.23,-55.2,19.9,13.93,0.0,3.85,1789,8,Anúncios,Cartão de crédito,6,Concluída,19,225,RS,Caxias do Sul
MLB2026-000055,2026-02-21,CAP-R11-PLU,Capa realme 11 Pelúcia Fofinha,Pelúcia,Rosa,1,34.9,34.9,13.49,19.77,56.6,0.0,0.0,0.0,1.64,1240,32,Anúncios,Pix,,Concluída,19,102,MG,Juiz de Fora
MLB2026-000056,2026-02-21,CAP-R11-PLU,Capa realme 11 Pelúcia Fofinha,Pelúcia,Rosa,1,34.9,34.9,16.64,15.99,45.8,0.0,0.0,0.0,2.27,858,7,Anúncios,Boleto,,Concluída,19,101,RS,Caxias do Sul
MLB2026-000057,2026-02-21,CAP-MG84-TPU,Capa Moto G84 TPU Transparente,TPU,Transparente,1,15.9,15.9,6.37,0.5,3.1,12.9,9.03,0.0,0.0,0,0,Orgânico,Boleto,,Concluída,17,171,SC,Chapecó
MLB2026-000058,2026-02-21,CAP-MG85-SIL,Capa Moto G85 Silicone Azul,Silicone,Azul,1,19.9,19.9,8.8,0.57,2.9,12.9,9.03,0.02,1.48,999,7,Anúncios,Pix,,Concluída,28,212,SP,Campinas
MLB2026-000059,2026-02-21,CAP-MG85-SIL,Capa Moto G85 Silicone Azul,Silicone,Azul,1,19.9,19.9,7.71,-1.74,-8.7,19.9,13.93,0.0,0.0,0,0,Orgânico,Pix,,Concluída,28,211,RJ,Rio de Janeiro
MLB2026-000060,2026-02-21,CAP-RN14-AGU,Capa Redmi Note 14 À Prova d'Água,À Prova d'Água,Azul,1,54.9,54.9,21.97,32.93,60.0,0.0,0.0,0.0,0.0,0,0,Orgânico,Pix,,Concluída,16,77,PR,Cascavel
MLB2026-000061,2026-02-21,CAP-RN14-AGU,Capa Redmi Note 14 À Prova d'Água,À Prova d'Água,Azul,1,54.9,54.9,26.67,28.23,51.4,0.0,0.0,0.0,0.0,0,0,Orgânico,Cartão de crédito,,Enviada,16,76,SP,São Paulo
MLB2026-000062,2026-02-21,CAP-IP12-PLU,Capinha iPhone 12 Pelúcia,Pelúcia,Amarelo,1,33.9,33.9,15.45,14.12,41.7,0.0,0.0,0.0,4.33,746,7,Anúncios,Pix,,Enviada,9,245,SP,Guarulhos
MLB2026-000063,2026-02-21,CAP-IP12-PLU,Capinha iPhone 12 Pelúcia,Pelúcia,Amarelo,1,33.9,33.9,14.8,5.17,15.3,19.9,13.93,0.0,0.0,0,0,Orgânico,Pix,,Concluída,9,244,RJ,Duque de Caxias
MLB2026-000064,2026-02-21,CAP-IP12-PLU,Capinha iPhone 12 Pelúcia,Pelúcia,Amarelo,1,33.9,33.9,13.61,6.36,18.8,19.9,13.93,0.0,0.0,0,0,Orgânico,Boleto,,Concluída,9,243,MG,Uberlândia
MLB2026-000065,2026-02-21,CAP-R12-SUP,Capa realme 12 com Suporte,Com Suporte,Cinza,1,33.9,33.9,12.58,21.32,62.9,0.0,0.0,0.0,0.0,0,0,Orgânico,Pix,,Pendente,8,220,MG,Juiz de Fora
MLB2026-000066,2026-02-21,CAP-R12-SUP,Capa realme 12 com Suporte,Com Suporte,Cinza,1,33.9,33.9,14.95,8.67,25.6,12.9,9.03,0.0,1.25,546,13,Anúncios,Cartão de crédito,,Concluída,8,219,SC,Florianópolis
MLB2026-000067,2026-02-21,CAP-MG85-TPU,Capa Moto G85 TPU Cinza,TPU,Cinza,1,16.9,16.9,7.09,-1.47,-8.7,12.9,9.03,0.0,2.25,3496,79,Anúncios,Cartão de crédito,9,Concluída,8,55,AM,Parintins
MLB2026-000068,2026-02-21,CAP-R13C-SIL,Capa Redmi 13C Silicone Azul,Silicone,Azul,1,17.9,17.9,8.52,-4.55,-25.4,19.9,13.93,0.0,0.0,0,0,Orgânico,Pix,,Concluída,20,64,MG,Uberlândia
MLB2026-000069,2026-02-22,CAP-IP15-SIL,Capa de Celular iPhone 15 Silicone Fosca,Silicone,Preto,1,24.9,24.9,11.16,11.37,45.7,0.0,0.0,2.37,0.0,0,0,Orgânico,Pix,,Enviada,41,96,PA,Belém
MLB2026-000070,2026-02-22,CAP-IP15-CRI,Capa iPhone 15 Acrílico Cristal Transparente,Cristal,Transparente,1,29.9,29.9,14.11,15.79,52.8,0.0,0.0,0.0,0.0,0,0,Orgânico,Pix,,Concluída,57,39,SP,São Paulo
MLB2026-000071,2026-02-22,CAP-IP16-MAG,Capa iPhone 16 Silicone com MagSafe,MagSafe,Azul,1,49.9,49.9,19.69,25.73,51.6,0.0,0.0,0.0,4.48,2188,51,Anúncios,Pix,,Enviada,79,171,RS,Canoas
MLB2026-000072,2026-02-22,CAP-IP12-TPU,Capa iPhone 12 TPU Transparente,TPU,Transparente,1,16.9,16.9,7.5,-11.5,-68.0,19.9,13.93,3.38,3.59,1348,12,Anúncios,Pix,,Concluída,41,69,SP,Campinas
MLB2026-000073,2026-02-22,CAP-GA55-SIL,Capa Galaxy A55 Silicone Fosca,Silicone,Verde,1,22.9,22.9,10.34,3.53,15.4,12.9,9.03,0.0,0.0,0,0,Orgânico,Cartão de crédito,12,Concluída,87,166,CE,Fortaleza
MLB2026-000074,2026-02-22,CAP-GS23-TPU,Capa Galaxy S23 TPU Camuflada,TPU,Camuflado,2,19.9,39.8,18.86,18.35,46.1,0.0,0.0,0.0,2.59,736,5,Anúncios,Pix,,Cancelada,34,212,PR,Maringá
MLB2026-000075,2026-02-22,CAP-GS23-TPU,Capa Galaxy S23 TPU Camuflada,TPU,Camuflado,1,19.9,19.9,9.67,10.23,51.4,0.0,0.0,0.0,0.0,0,0,Orgânico,Cartão de crédito,,Concluída,34,211,MG,Belo Horizonte
MLB2026-000076,2026-02-22,CAP-RN13-TPU,Capa Redmi Note 13 TPU Cristal,TPU,Transparente,1,14.9,14.9,6.48,-2.82,-18.9,12.9,9.03,0.0,2.21,1705,24,Anúncios,Pix,,Concluída,46,224,PR,Maringá
MLB2026-000077,2026-02-22,CAP-RN13-SUP,Capa Redmi Note 13 com Suporte,Com Suporte,Preto,1,32.9,32.9,14.23,7.2,21.9,12.9,9.03,2.44,0.0,0,0,Orgânico,Pix,,Concluída,7,197,MG,Belo Horizonte
MLB2026-000078,2026-02-22,CAP-RN13-SUP,Capa Redmi Note 13 com Suporte,Com Suporte,Preto,1,32.9,32.9,15.31,2.76,8.4,19.9,13.93,0.0,0.9,1752,44,Anúncios,Pix,,Concluída,7,196,SP,São Paulo
MLB2026-000079,2026-02-22,CAP-R12-SIL,Capa realme 12 Silicone Fosca,Silicone,Branco,1,20.9,20.9,9.48,-4.16,-19.9,19.9,13.93,1.65,0.0,0,0,Orgânico,Pix,,Concluída,43,209,PR,Curitiba
MLB2026-000080,2026-02-22,CAP-R12-SIL,Capa realme 12 Silicone Fosca,Silicone,Branco,1,20.9,20.9,9.93,-2.96,-14.2,19.9,13.93,0.0,0.0,0,0,Orgânico,Cartão de crédito,,Concluída,43,208,SP,São Bernardo do Campo
MLB2026-000081,2026-02-22,CAP-MG84-TPU,Capa Moto G84 TPU Transparente,TPU,Transparente,1,15.9,15.9,6.21,-2.64,-16.6,12.9,9.03,3.3,0.0,0,0,Orgânico,Cartão de crédito,6,Concluída,23,170,GO,Aparecida de Goiânia
MLB2026-000082,2026-02-22,CAP-GA55-SUP,Capa Galaxy A55 com Suporte e Anel,Com Suporte,Preto,1,35.9,35.9,15.89,4.53,12.6,19.9,13.93,0.0,1.55,2850,23,Anúncios,Pix,,Concluída,16,83,SP,Osasco
MLB2026-000083,2026-02-22,CAP-GA55-SUP,Capa Galaxy A55 com Suporte e Anel,Com Suporte,Preto,1,35.9,35.9,15.69,19.28,53.7,0.0,0.0,0.0,0.93,1217,34,Anúncios,Pix,,Enviada,16,82,SP,São Bernardo do Campo
MLB2026-000084,2026-02-22,CAP-IP16-CRI,Capa iPhone 16 Cristal Espelhada,Cristal,Prata,1,37.9,37.9,18.38,6.69,17.7,12.9,9.03,3.8,0.0,0,0,Orgânico,Cartão de crédito,9,Cancelada,16,173,MG,Belo Horizonte
MLB2026-000085,2026-02-22,CAP-GS25-SIL,Capa Galaxy S25 Ultra Silicone MagSafe,MagSafe,Preto,1,54.9,54.9,22.65,32.25,58.7,0.0,0.0,0.0,0.0,0,0,Orgânico,Pix,,Concluída,49,38,MG,Uberlândia
MLB2026-000086,2026-02-22,CAP-GS25-SIL,Capa Galaxy S25 Ultra Silicone MagSafe,MagSafe,Preto,2,54.9,109.8,49.4,59.18,53.9,0.0,0.0,0.0,1.22,2648,22,Anúncios,Cartão de débito,,Concluída,49,36,PR,Maringá
MLB2026-000087,2026-02-22,CAP-MG84-SUP,Capa Moto G84 com Suporte,Com Suporte,Preto,3,29.9,89.7,41.67,48.03,53.5,0.0,0.0,0.0,0.0,0,0,Orgânico,Cartão de crédito,,Concluída,7,190,CE,Fortaleza
MLB2026-000088,2026-02-22,CAP-IP13-MAG,Capa iPhone 13 Silicone MagSafe,MagSafe,Branco,1,44.9,44.9,21.57,21.19,47.2,0.0,0.0,0.0,2.14,420,2,Anúncios,Pix,,Concluída,30,39,SP,Osasco
MLB2026-000089,2026-02-22,CAP-MG85-TPU,Capa Moto G85 TPU Cinza,TPU,Cinza,1,16.9,16.9,7.74,-6.15,-36.4,19.9,13.93,1.38,0.0,0,0,Orgânico,Pix,,Concluída,40,54,SP,Osasco
MLB2026-000090,2026-02-22,CAP-GA54-SIL,Capa Galaxy A54 Silicone Vermelho,Silicone,Vermelho,1,18.9,18.9,8.2,-0.02,-0.1,12.9,9.03,0.0,1.69,739,13,Anúncios,Pix,,Concluída,16,205,PR,Maringá
MLB2026-000091,2026-02-23,CAP-IP15-CRI,Capa iPhone 15 Acrílico Cristal Transparente,Cristal,Transparente,2,29.9,59.8,25.1,25.67,42.9,12.9,9.03,0.0,0.0,0,0,Orgânico,Pix,,Concluída,52,37,RS,Pelotas
MLB2026-000092,2026-02-23,CAP-IP14-COU,Capa iPhone 14 Couro Sintético Premium,Couro,Marrom,1,44.9,44.9,16.44,28.46,63.4,0.0,0.0,0.0,0.0,0,0,Orgânico,Pix,,Concluída,9,126,SP,Campinas
MLB2026-000093,2026-02-23,CAP-IP14-COU,Capa iPhone 14 Couro Sintético Premium,Couro,Marrom,1,44.9,44.9,18.29,24.67,54.9,0.0,0.0,0.0,1.94,3107,93,Anúncios,Pix,,Concluída,9,125,RJ,Duque de Caxias
MLB2026-000094,2026-02-23,CAP-GA55-SIL,Capa Galaxy A55 Silicone Fosca,Silicone,Verde,2,22.9,45.8,22.12,9.75,21.3,19.9,13.93,0.0,0.0,0,0,Orgânico,Boleto,,Concluída,102,164,CE,Fortaleza
MLB2026-000095,2026-02-23,CAP-GA55-CRI,Capa Galaxy A55 Cristal Ultra Fino,Cristal,Transparente,1,26.9,26.9,11.88,15.02,55.8,0.0,0.0,0.0,0.0,0,0,Orgânico,Cartão de crédito,,Concluída,21,140,SP,São Bernardo do Campo
MLB2026-000096,2026-02-23,CAP-GA56-MAG,Capa Galaxy A56 com MagSafe,MagSafe,Roxo,1,47.9,47.9,20.28,27.62,57.7,0.0,0.0,0.0,0.0,0,0,Orgânico,Boleto,,Concluída,16,89,SP,São Bernardo do Campo
MLB2026-000097,2026-02-23,CAP-GS25-COU,Capa Galaxy S25 Ultra Couro Premium,Couro,Marrom,3,69.9,209.7,79.41,125.32,59.8,0.0,0.0,4.97,0.0,0,0,Orgânico,Boleto,,Concluída,54,181,AM,Manaus
MLB2026-000098,2026-02-23,CAP-GS25-COU,Capa Galaxy S25 Ultra Couro Premium,Couro,Marrom,1,69.9,69.9,34.52,35.38,50.6,0.0,0.0,0.0,0.0,0,0,Orgânico,Pix,,Concluída,54,180,GO,Goiânia
MLB2026-000099,2026-02-23,CAP-GS25-COU,Capa Galaxy S25 Ultra Couro Premium,Couro,Marrom,1,69.9,69.9,26.77,43.13,61.7,0.0,0.0,0.0,0.0,0,0,Orgânico,Boleto,,Concluída,54,179,MG,Uberlândia
MLB2026-000100,2026-02-23,CAP-GS24-SIL,Capa Galaxy S24 Silicone com Anel,Silicone,Azul,1,29.9,29.9,14.6,-2.43,-8.1,19.9,13.93,0.0,3.8,1058,13,Anúncios,Boleto,,Concluída,54,168,PR,Maringá
MLB2026-000101,2026-02-23,CAP-GS24-SIL,Capa Galaxy S24 Silicone com Anel,Silicone,Azul,1,29.9,29.9,11.12,9.75,32.6,12.9,9.03,0.0,0.0,0,0,Orgânico,Cartão de crédito,6,Concluída,54,167,RJ,Niterói
MLB2026-000102,2026-02-23,CAP-R12-SIL,Capa realme 12 Silicone Fosca,Silicone,Branco,1,20.9,20.9,9.79,11.11,53.2,0.0,0.0,0.0,0.0,0,0,Orgânico,Boleto,,Concluída,14,207,MG,Belo Horizonte
MLB2026-000103,2026-02-23,CAP-IP16-CRI,Capa iPhone 16 Cristal Espelhada,Cristal,Prata,1,37.9,37.9,16.67,7.3,19.3,19.9,13.93,0.0,0.0,0,0,Orgânico,Cartão de débito,,Concluída,34,172,SP,Campinas
MLB2026-000104,2026-02-23,CAP-R12-CRI,Capa realme 12 Cristal Transparente,Cristal,Transparente,1,24.9,24.9,9.16,6.71,26.9,12.9,9.03,0.0,0.0,0,0,Orgânico,Pix,,Concluída,49,16,DF,Brasília
