id,platform,title,brand,model,material,color,condition,price_brl,original_price_brl,sales,rating,reviews,seller,seller_type,state,city,shipping_free,installments_count,interest_free,available_quantity,listed_date
MLB-0231,Mercado Livre,Case Poco X6 Anti-Risco Couro Sintético - Xiaomi,Xiaomi,Poco X6,Couro Sintético,Marrom,Novo,57.1,91.9,7492,4.5,324,iCases Store,Vendedor,GO,Aparecida de Goiânia,False,9,True,113,2025-10-13
MLB-0168,Mercado Livre,Capinha Redmi Note 14 Floral Couro Sintético Branco - Xiaomi,Xiaomi,Redmi Note 14,Couro Sintético,Branco,Novo,89.9,121.3,7388,4.5,316,Max Acessórios,MercadoLíder,MG,Contagem,True,6,True,222,2025-11-06
MLB-0437,Mercado Livre,Case Redmi Note 13 Glitter Lisa Pelúcia,Xiaomi,Redmi Note 13,Pelúcia,Cinza,Novo,51.5,,7321,4.6,840,Top Cel Acessórios,MercadoLíder,SP,Guarulhos,True,9,True,276,2026-04-04
MLB-0064,Mercado Livre,Capa Protetora Galaxy S23 Transparente Acrílico Cristal - Samsung,Samsung,Galaxy S23,Acrílico Cristal,Azul,Novo,43.8,,7230,4.6,811,Case Mania,Vendedor,SC,Blumenau,True,3,True,114,2025-10-22
MLB-0496,Mercado Livre,Case realme C53 Com Anel Antichoque Silicone com Anel - realme,realme,realme C53,Silicone com Anel,Preto,Novo,36.6,51.5,7018,4.9,320,Case Store Brasil,MercadoLíder,BA,Vitória da Conquista,False,6,False,296,2025-08-27
MLB-0396,Mercado Livre,Capinha Galaxy S25 Ultra Anti-Risco Acrílico Cristal Prata - Samsung,Samsung,Galaxy S25 Ultra,Acrílico Cristal,Prata,Novo,28.7,38.6,7016,4.5,669,CaseHub,Vendedor,SC,Florianópolis,True,9,False,108,2026-08-08
MLB-0107,Mercado Livre,Case Moto G54 Camuflada Lisa Pelúcia Verde,Motorola,Moto G54,Pelúcia,Verde,Novo,69.9,,6899,4.7,192,Importados BR,Vendedor,RS,Canoas,True,6,True,214,2025-11-13
MLB-0203,Mercado Livre,Capa de Celular iPhone 11 Antichoque Fosca TPU com Cordão - Apple,Apple,iPhone 11,TPU com Cordão,Marrom,Novo,24.1,30.0,6783,4.7,301,iCases Store,Loja Oficial,PE,Recife,False,12,True,129,2026-06-23
MLB-0338,Mercado Livre,Case Redmi Note 12 Lisa TPU com Cordão,Xiaomi,Redmi Note 12,TPU com Cordão,Vermelho,Novo,22.1,,6600,4.8,768,Capinha Express,Vendedor,RS,Caxias do Sul,False,3,True,248,2025-10-18
MLB-0270,Mercado Livre,Case Redmi Note 13 Com Suporte Texturizada Capa com Suporte - Xiaomi,Xiaomi,Redmi Note 13,Capa com Suporte,Preto,Novo,30.7,52.7,6599,4.7,534,Importados BR,MercadoLíder,SP,Osasco,True,12,True,269,2026-05-01
MLB-0135,Mercado Livre,Capinha Redmi Note 12 Ultra Fino TPU com Cordão - Xiaomi,Xiaomi,Redmi Note 12,TPU com Cordão,Transparente,Novo,18.1,,6443,4.4,337,Digital Case BR,Vendedor,MG,Uberlândia,True,12,True,259,2026-06-26
MLB-0539,Mercado Livre,Capa Protetora iPhone 11 Transparente Texturizada Capa com Suporte Branco - Apple,Apple,iPhone 11,Capa com Suporte,Branco,Novo,54.9,81.2,6425,4.8,364,CaseHub,Vendedor,RJ,Rio de Janeiro,True,9,False,30,2025-10-27
MLB-0114,Mercado Livre,Capa Protetora realme C53 Camuflada Ultra Fino Silicone com MagSafe,realme,realme C53,Silicone com MagSafe,Transparente,Novo,49.6,82.6,6290,4.6,253,Brasil Case Center,Vendedor,SC,Blumenau,False,,,119,2026-07-20
MLB-0538,Mercado Livre,Capa de Celular Galaxy S24 Fosca TPU com Cordão,Samsung,Galaxy S24,TPU com Cordão,Camuflado,Novo,99.9,,5983,4.7,711,Digital Case BR,Vendedor,CE,Juazeiro do Norte,True,9,True,90,2025-12-30
MLB-0399,Mercado Livre,Capa Protetora Moto G54 Camuflada Transparente Silicone Camuflado - Motorola,Motorola,Moto G54,Silicone,Camuflado,Novo,20.6,36.8,5906,4.8,604,Max Acessórios,MercadoLíder,DF,Taguatinga,True,9,False,283,2026-04-15
MLB-0334,Mercado Livre,Capinha Galaxy A55 Ultra Fino Couro com MagSafe - Samsung,Samsung,Galaxy A55,Couro com MagSafe,Amarelo,Novo,74.4,130.6,5891,4.7,635,Top Cel Acessórios,Vendedor,CE,Juazeiro do Norte,False,,,65,2026-03-11
MLB-0442,Mercado Livre,Case iPhone 16 Pro Max Couro Premium Couro com MagSafe - Apple,Apple,iPhone 16 Pro Max,Couro com MagSafe,Cinza,Novo,65.0,102.6,5825,4.7,452,Capinha Express,MercadoLíder,SP,Campinas,False,9,True,0,2025-07-19
MLB-0452,Mercado Livre,Capa Protetora realme C53 Premium Antichoque Couro Sintético Prata - realme,realme,realme C53,Couro Sintético,Prata,Novo,59.8,,5796,4.6,528,Mega Cases Shop,Loja Oficial,AM,Parintins,True,12,True,54,2025-08-20
MLB-0389,Mercado Livre,Capa Protetora Galaxy S25 Ultra Colorida Espelhada TPU Camuflado - Samsung,Samsung,Galaxy S25 Ultra,TPU,Camuflado,Novo,11.4,20.3,5587,4.9,591,iCases Store,Vendedor,PR,Curitiba,True,3,True,50,2026-07-15
MLB-0145,Mercado Livre,Capinha Redmi Note 13 Geométrica Texturizada Policarbonato - Xiaomi,Xiaomi,Redmi Note 13,Policarbonato,Cinza,Novo,39.3,,5166,4.8,225,CelShop Brasil,Vendedor,PR,Cascavel,False,12,False,245,2026-06-17
MLB-0606,Mercado Livre,Capa Protetora Redmi Note 14 Ultra Fino Couro com MagSafe Roxo - Xiaomi,Xiaomi,Redmi Note 14,Couro com MagSafe,Roxo,Novo,14.9,,5007,5.0,551,Acessórios Prime,Vendedor,RJ,Campos dos Goytacazes,True,3,True,215,2026-04-16
MLB-0617,Mercado Livre,Case Moto G84 Ultra Fino Capa com Suporte - Motorola,Motorola,Moto G84,Capa com Suporte,Rosa,Novo,37.7,,4700,5.0,119,Max Acessórios,MercadoLíder,MA,São Luís,True,3,False,147,2025-07-19
MLB-0516,Mercado Livre,Case iPhone 16 Pelúcia Texturizada Pelúcia Preto - Apple,Apple,iPhone 16,Pelúcia,Preto,Novo,51.1,,4211,4.6,445,Digital Case BR,Vendedor,MG,Belo Horizonte,True,,,125,2026-03-30
MLB-0551,Mercado Livre,Capa Protetora Poco X6 Com Desenho Capa com Suporte Azul,Xiaomi,Poco X6,Capa com Suporte,Azul,Novo,40.7,60.7,4130,4.7,376,TecnoCases,Vendedor,CE,Fortaleza,True,9,True,198,2025-12-08
MLB-0380,Mercado Livre,Capa de Celular realme Note 50 Fosca Couro Sintético - realme,realme,realme Note 50,Couro Sintético,Cinza,Novo,42.4,67.2,3988,4.8,412,Case Store Brasil,MercadoLíder,RJ,Rio de Janeiro,True,12,True,63,2026-06-21
MLB-0073,Mercado Livre,Case realme 11 Geométrica Espelhada Couro com MagSafe - realme,realme,realme 11,Couro com MagSafe,Dourado,Novo,85.2,138.7,3963,4.7,89,Capinha Express,Vendedor,RJ,Duque de Caxias,True,12,True,214,2026-07-09
MLB-0567,Mercado Livre,Case realme 12 Lisa Geométrica Silicone com Anel Marrom - realme,realme,realme 12,Silicone com Anel,Marrom,Novo,43.8,75.5,3953,5.0,158,Prime Cases,Vendedor,ES,Vila Velha,False,6,True,146,2026-03-24
MLB-0273,Mercado Livre,Capinha Galaxy S25 Espelhada Silicone Verde - Samsung,Samsung,Galaxy S25,Silicone,Verde,Novo,18.3,,3806,4.2,335,Case Store Brasil,MercadoLíder,MG,Belo Horizonte,True,3,True,90,2025-08-11
MLB-0069,Mercado Livre,Capinha iPhone 13 Anti-Risco TPU com Cordão,Apple,iPhone 13,TPU com Cordão,Rosa,Novo,64.9,,3670,4.7,148,Max Acessórios,Vendedor,SP,São Bernardo do Campo,False,9,True,6,2026-01-17
MLB-0375,Mercado Livre,Capinha Galaxy S25 Ultra Fosca Capa com Suporte - Samsung,Samsung,Galaxy S25 Ultra,Capa com Suporte,Laranja,Novo,38.7,61.9,2869,4.3,103,Top Cel Acessórios,MercadoLíder,PR,Curitiba,False,3,True,212,2026-02-22
MLB-0111,Mercado Livre,Capa de Celular Moto Edge 50 Espelhada Antichoque Pelúcia Preto,Motorola,Moto Edge 50,Pelúcia,Preto,Novo,50.1,87.8,2826,4.5,310,Case Mania,MercadoLíder,SP,Guarulhos,True,6,False,49,2026-01-12
MLB-0464,Mercado Livre,Case Galaxy S25 Antirrisco Acrílico Cristal Prata - Samsung,Samsung,Galaxy S25,Acrílico Cristal,Prata,Novo,35.4,45.0,2486,5.0,151,Case Mania,MercadoLíder,GO,Anápolis,True,3,True,60,2026-01-06
MLB-0027,Mercado Livre,Case iPhone 15 Colorida À Prova d'Água - Apple,Apple,iPhone 15,À Prova d'Água,Roxo,Novo,52.6,,2328,4.4,254,Brasil Case Center,Vendedor,SP,Campinas,True,6,True,24,2025-10-28
MLB-0256,Mercado Livre,Capa Protetora Galaxy A35 MagSafe Couro com MagSafe - Samsung,Samsung,Galaxy A35,Couro com MagSafe,Dourado,Novo,9.9,14.2,2267,4.8,192,iCases Store,Vendedor,PR,Maringá,False,6,True,251,2026-05-03
MLB-0505,Mercado Livre,Capinha realme 11 Texturizada Com Desenho À Prova d'Água - realme,realme,realme 11,À Prova d'Água,Verde,Novo,27.9,42.5,1969,4.3,198,Importados BR,MercadoLíder,SP,São Bernardo do Campo,True,3,True,41,2026-02-12
MLB-0241,Mercado Livre,Case iPhone 14 Texturizada À Prova d'Água - Apple,Apple,iPhone 14,À Prova d'Água,Rosa,Novo,62.9,98.2,1951,4.4,100,Case Store Brasil,Vendedor,CE,Juazeiro do Norte,True,,,279,2025-11-21
MLB-0245,Mercado Livre,Case Moto G24 Antichoque Silicone com Anel - Motorola,Motorola,Moto G24,Silicone com Anel,Branco,Novo,24.7,,1943,4.4,182,iCases Store,Vendedor,SC,Florianópolis,True,9,False,100,2026-07-23
MLB-0493,Mercado Livre,Capinha realme C53 Lisa Couro Sintético Amarelo,realme,realme C53,Couro Sintético,Amarelo,Novo,22.9,37.6,1941,4.3,72,Digital Case BR,Vendedor,SC,Blumenau,False,3,False,26,2026-06-10
MLB-0374,Mercado Livre,Case iPhone 16 Couro Premium Couro com MagSafe - Apple,Apple,iPhone 16,Couro com MagSafe,Rosa,Novo,64.7,101.1,1931,4.7,181,Importados BR,Loja Oficial,RJ,Rio de Janeiro,True,,,100,2025-10-29
MLB-0608,Mercado Livre,Case realme C53 Lisa Anti-Risco TPU - realme,realme,realme C53,TPU,Preto,Novo,14.3,18.1,1921,4.4,62,Top Cel Acessórios,MercadoLíder,BA,Vitória da Conquista,True,,,284,2026-03-04
MLB-0267,Mercado Livre,Capa Protetora iPhone 12 Fosca Anti-Risco Silicone com MagSafe Laranja - Apple,Apple,iPhone 12,Silicone com MagSafe,Laranja,Novo,68.9,,1910,4.7,134,CaseHub,Vendedor,RJ,Campos dos Goytacazes,False,6,True,108,2025-10-09
MLB-0255,Mercado Livre,Capa de Celular realme Note 50 Floral MagSafe Couro com MagSafe,realme,realme Note 50,Couro com MagSafe,Preto,Novo,65.9,98.9,1851,4.3,202,CelShop Brasil,MercadoLíder,SP,São Paulo,True,12,False,292,2025-09-10
MLB-0317,Mercado Livre,Capinha Poco X6 Pro Ultra Fino Acrílico Cristal Verde - Xiaomi,Xiaomi,Poco X6 Pro,Acrílico Cristal,Verde,Novo,38.6,,1849,4.5,218,Case Mania,MercadoLíder,MG,Contagem,True,12,True,195,2026-06-21
MLB-0393,Mercado Livre,Capa Protetora iPhone 11 Com Desenho Floral Couro com MagSafe Amarelo,Apple,iPhone 11,Couro com MagSafe,Amarelo,Novo,72.8,115.3,1844,4.0,69,Max Acessórios,Loja Oficial,BA,Salvador,True,6,False,246,2025-09-22
MLB-0151,Mercado Livre,Capinha Moto Edge 50 Floral Com Cordão TPU com Cordão - Motorola,Motorola,Moto Edge 50,TPU com Cordão,Verde,Novo,23.5,,1835,4.8,215,iCases Store,Loja Oficial,PR,Cascavel,False,,,292,2026-04-06
MLB-0202,Mercado Livre,Capa de Celular iPhone 16 Couro Couro Sintético Rosa,Apple,iPhone 16,Couro Sintético,Rosa,Novo,51.7,,1827,4.1,141,Case Store Brasil,Vendedor,SC,Blumenau,True,6,True,237,2026-07-30
MLB-0445,Mercado Livre,Capa Protetora Galaxy A16 Transparente Silicone Rosa - Samsung,Samsung,Galaxy A16,Silicone,Rosa,Novo,22.4,,1827,5.0,202,Top Cel Acessórios,Loja Oficial,MG,Belo Horizonte,True,9,False,216,2025-11-29
MLB-0358,Mercado Livre,Capinha Redmi Note 14 Com Suporte Lisa Capa com Suporte Branco - Xiaomi,Xiaomi,Redmi Note 14,Capa com Suporte,Branco,Novo,89.9,110.3,1821,4.9,192,Max Acessórios,Loja Oficial,RJ,Niterói,False,3,True,248,2026-05-17
MLB-0235,Mercado Livre,Case Galaxy S24 Magnética Espelhada Silicone com MagSafe Preto - Samsung,Samsung,Galaxy S24,Silicone com MagSafe,Preto,Novo,43.3,77.7,1800,5.0,168,CaseHub,Vendedor,ES,Vila Velha,True,9,True,209,2025-11-11
MLB-0561,Mercado Livre,Capinha Galaxy M15 Couro Couro Sintético,Samsung,Galaxy M15,Couro Sintético,Marrom,Novo,22.9,27.5,1796,4.4,119,CaseHub,MercadoLíder,MG,Uberlândia,True,9,True,121,2025-08-26
MLB-0610,Mercado Livre,Case Poco X6 Fosca Silicone com MagSafe,Xiaomi,Poco X6,Silicone com MagSafe,Vermelho,Novo,54.2,74.7,1774,4.7,113,Mega Cases Shop,Vendedor,SP,Guarulhos,False,9,True,257,2025-07-25
MLB-0038,Mercado Livre,Case Galaxy A15 Transparente Colorida Acrílico Cristal Preto,Samsung,Galaxy A15,Acrílico Cristal,Preto,Novo,32.8,,1765,4.4,78,Importados BR,Vendedor,ES,Vila Velha,True,6,True,77,2025-10-27
MLB-0363,Mercado Livre,Case iPhone 15 Glitter Capa com Suporte Rosa - Apple,Apple,iPhone 15,Capa com Suporte,Rosa,Novo,19.9,30.7,1755,4.7,40,Case Mania,Vendedor,SP,Campinas,True,9,True,52,2025-09-17
MLB-0414,Mercado Livre,Case Galaxy A15 Lisa Geométrica Silicone com Anel Rosa - Samsung,Samsung,Galaxy A15,Silicone com Anel,Rosa,Novo,9.9,,1748,4.5,58,Max Acessórios,Vendedor,MG,Contagem,True,9,True,230,2026-06-05
MLB-0435,Mercado Livre,Capa de Celular iPhone 13 Floral Glitter Couro Sintético Marrom - Apple,Apple,iPhone 13,Couro Sintético,Marrom,Novo,51.5,92.3,1745,4.5,175,Max Acessórios,Vendedor,SP,Campinas,False,6,True,182,2025-09-02
MLB-0179,Mercado Livre,Capa Protetora Galaxy A16 Com Desenho Glitter Couro Sintético - Samsung,Samsung,Galaxy A16,Couro Sintético,Branco,Novo,34.8,,1735,4.6,36,Top Cel Acessórios,Vendedor,MG,Belo Horizonte,True,,,256,2026-04-28
MLB-0598,Mercado Livre,Capa de Celular Moto G24 Transparente Couro Sintético,Motorola,Moto G24,Couro Sintético,Verde,Novo,15.9,22.8,1702,4.1,110,Case Mania,MercadoLíder,RJ,Campos dos Goytacazes,True,,,28,2025-07-17
MLB-0519,Mercado Livre,Capa de Celular iPhone 16 Camuflada Silicone À Prova d'Água Roxo - Apple,Apple,iPhone 16,À Prova d'Água,Roxo,Novo,69.9,,1686,4.4,130,TecnoCases,MercadoLíder,CE,Juazeiro do Norte,False,,,233,2026-03-22
MLB-0229,Mercado Livre,Case Galaxy A15 Ultra Fino Espelhada Silicone - Samsung,Samsung,Galaxy A15,Silicone,Camuflado,Novo,17.1,27.1,1674,4.7,116,Brasil Case Center,MercadoLíder,SP,Osasco,True,3,True,37,2026-08-02
MLB-0615,Mercado Livre,Case iPhone 11 Transparente Capa com Suporte Dourado - Apple,Apple,iPhone 11,Capa com Suporte,Dourado,Novo,69.9,96.4,1632,4.1,136,Digital Case BR,Vendedor,SP,Campinas,False,6,True,291,2026-05-14
MLB-0376,Mercado Livre,Capa Protetora Moto G54 Colorida Pelúcia,Motorola,Moto G54,Pelúcia,Prata,Novo,59.9,,1597,4.0,48,CelShop Brasil,Vendedor,MG,Juiz de Fora,False,9,True,1,2026-07-15
MLB-0492,Mercado Livre,Capa Protetora Moto G85 Ultra Fino Colorida Pelúcia,Motorola,Moto G85,Pelúcia,Camuflado,Novo,54.9,69.3,1566,4.5,92,Mega Cases Shop,Vendedor,SP,Campinas,False,6,False,63,2025-11-18
MLB-0574,Mercado Livre,Capinha iPhone 13 Espelhada Lisa Silicone com Anel Cinza - Apple,Apple,iPhone 13,Silicone com Anel,Cinza,Novo,17.9,23.4,1524,4.5,51,Max Acessórios,MercadoLíder,RJ,Campos dos Goytacazes,False,,,135,2025-11-08
MLB-0320,Mercado Livre,Capinha Galaxy S24 Geométrica TPU Preto - Samsung,Samsung,Galaxy S24,TPU,Preto,Novo,19.2,,1472,4.8,78,Case Store Brasil,Vendedor,MG,Contagem,True,6,False,204,2026-02-12
MLB-0237,Mercado Livre,Case Galaxy S23 Ultra Fino Acrílico Cristal Amarelo,Samsung,Galaxy S23,Acrílico Cristal,Amarelo,Novo,79.9,112.5,1458,4.7,150,Capinha Express,MercadoLíder,GO,Aparecida de Goiânia,True,,,265,2025-11-27
MLB-0204,Mercado Livre,Capa de Celular Xiaomi 14 Espelhada Glitter Couro Sintético Laranja,Xiaomi,Xiaomi 14,Couro Sintético,Laranja,Novo,99.9,,1390,4.5,110,Mega Cases Shop,MercadoLíder,SP,Osasco,False,,,275,2025-08-30
MLB-0171,Mercado Livre,Capinha Moto Edge 50 Camuflada Com Desenho Couro com MagSafe Rosa - Motorola,Motorola,Moto Edge 50,Couro com MagSafe,Rosa,Novo,32.9,,1377,4.0,160,Top Cel Acessórios,Vendedor,SP,Guarulhos,True,6,True,218,2026-01-02
MLB-0174,Mercado Livre,Capa de Celular realme 11 Glitter Colorida Couro Sintético,realme,realme 11,Couro Sintético,Branco,Novo,60.8,,1358,4.8,125,Case Store Brasil,Vendedor,SP,Osasco,True,6,True,7,2025-10-16
MLB-0503,Mercado Livre,Case Galaxy A56 Transparente Floral Acrílico Cristal - Samsung,Samsung,Galaxy A56,Acrílico Cristal,Azul,Novo,45.2,73.8,1340,4.4,106,TecnoCases,Vendedor,DF,Taguatinga,True,6,False,0,2026-05-21
MLB-0175,Mercado Livre,Case realme 12 Floral Couro com MagSafe Preto - realme,realme,realme 12,Couro com MagSafe,Preto,Novo,67.9,115.0,1332,4.5,90,iCases Store,Vendedor,SP,São Paulo,False,9,True,215,2026-03-04
MLB-0568,Mercado Livre,Case Redmi Note 14 Floral Fosca Pelúcia,Xiaomi,Redmi Note 14,Pelúcia,Roxo,Novo,14.9,22.8,1305,4.7,64,Brasil Case Center,Vendedor,PR,Londrina,True,6,True,23,2026-02-09
MLB-0559,Mercado Livre,Capa Protetora Redmi Note 14 Texturizada Lisa À Prova d'Água,Xiaomi,Redmi Note 14,À Prova d'Água,Cinza,Novo,66.6,94.4,1293,4.8,63,iCases Store,MercadoLíder,MA,São Luís,True,3,True,68,2025-10-08
MLB-0495,Mercado Livre,Capinha Redmi Note 12 Antichoque Anti-Risco Acrílico Cristal,Xiaomi,Redmi Note 12,Acrílico Cristal,Transparente,Novo,17.9,,1289,4.9,67,Digital Case BR,Vendedor,BA,Salvador,True,,,66,2026-01-14
MLB-0369,Mercado Livre,Capa Protetora iPhone 13 Espelhada Couro com MagSafe Vermelho - Apple,Apple,iPhone 13,Couro com MagSafe,Vermelho,Novo,19.9,26.0,1284,4.4,70,Digital Case BR,Vendedor,ES,Vila Velha,True,9,True,275,2025-12-18
MLB-0305,Mercado Livre,Capa de Celular Redmi Note 13 Ultra Fino Silicone,Xiaomi,Redmi Note 13,Silicone,Transparente,Novo,17.9,31.6,1277,4.9,152,Importados BR,Loja Oficial,GO,Anápolis,True,9,True,109,2026-01-01
MLB-0618,Mercado Livre,Capa de Celular Galaxy M35 Fosca Couro Sintético,Samsung,Galaxy M35,Couro Sintético,Laranja,Novo,58.2,,1272,4.8,60,CelShop Brasil,MercadoLíder,PA,Belém,True,3,True,0,2026-07-28
MLB-0434,Mercado Livre,Case iPhone 12 Ultra Fino Silicone - Apple,Apple,iPhone 12,Silicone,Rosa,Novo,79.9,,1261,3.7,42,Acessórios Prime,MercadoLíder,SP,Guarulhos,True,3,False,110,2025-10-29
MLB-0303,Mercado Livre,Capa Protetora realme Note 50 Floral Couro com MagSafe - realme,realme,realme Note 50,Couro com MagSafe,Roxo,Novo,92.3,,1235,4.3,43,Capinha Express,Vendedor,SP,São Bernardo do Campo,False,12,False,279,2025-11-16
MLB-0159,Mercado Livre,Capa de Celular Galaxy A15 Lisa Antichoque Capa com Suporte Transparente - Samsung,Samsung,Galaxy A15,Capa com Suporte,Transparente,Novo,39.0,,1218,5.0,90,Prime Cases,Vendedor,BA,Vitória da Conquista,False,6,False,262,2026-02-04
MLB-0592,Mercado Livre,Capinha Redmi Note 12 Floral TPU com Cordão - Xiaomi,Xiaomi,Redmi Note 12,TPU com Cordão,Preto,Novo,18.0,,1194,4.5,113,Top Cel Acessórios,Vendedor,CE,Juazeiro do Norte,True,9,False,53,2025-08-27
MLB-0162,Mercado Livre,Capa Protetora realme 11 Texturizada Floral TPU com Cordão,realme,realme 11,TPU com Cordão,Laranja,Novo,27.1,39.8,1189,4.1,58,Brasil Case Center,Vendedor,AM,Parintins,True,3,True,45,2026-05-05
MLB-0550,Mercado Livre,Case iPhone 15 Antichoque À Prova d'Água Vermelho - Apple,Apple,iPhone 15,À Prova d'Água,Vermelho,Novo,71.2,,1187,4.4,44,Max Acessórios,Loja Oficial,MG,Contagem,True,,,37,2026-07-19
MLB-0132,Mercado Livre,Capa Protetora Redmi Note 14 Camuflada Glitter Pelúcia - Xiaomi,Xiaomi,Redmi Note 14,Pelúcia,Laranja,Novo,16.9,,1182,4.6,62,Capinha Express,Loja Oficial,RS,Canoas,True,3,True,100,2026-01-11
MLB-0040,Mercado Livre,Capa de Celular Moto G54 Floral Couro Sintético Amarelo,Motorola,Moto G54,Couro Sintético,Amarelo,Novo,27.9,43.8,1177,4.8,91,Digital Case BR,Vendedor,RS,Porto Alegre,True,9,True,41,2026-03-16
MLB-0467,Mercado Livre,Case Galaxy S25 Ultra Camuflada TPU Rosa - Samsung,Samsung,Galaxy S25 Ultra,TPU,Rosa,Novo,89.9,,1150,4.8,119,Prime Cases,Loja Oficial,SP,São Paulo,False,3,False,0,2026-02-04
MLB-0553,Mercado Livre,Case iPhone 12 Transparente Silicone Branco,Apple,iPhone 12,Silicone,Branco,Novo,14.1,,1142,4.4,85,Acessórios Prime,Vendedor,SP,Osasco,False,9,False,8,2026-07-26
MLB-0528,Mercado Livre,Capa de Celular realme 11 Transparente Floral Couro com MagSafe Dourado - realme,realme,realme 11,Couro com MagSafe,Dourado,Novo,87.4,,1125,4.5,101,CaseHub,Vendedor,SP,Osasco,True,12,True,85,2025-10-09
MLB-0251,Mercado Livre,Capa de Celular Xiaomi 14 Colorida Couro Sintético - Xiaomi,Xiaomi,Xiaomi 14,Couro Sintético,Verde,Novo,17.9,,1120,4.6,122,Max Acessórios,MercadoLíder,DF,Brasília,True,3,True,143,2026-05-24
MLB-0122,Mercado Livre,Case Moto Edge 50 Camuflada Texturizada Pelúcia - Motorola,Motorola,Moto Edge 50,Pelúcia,Camuflado,Novo,54.9,66.2,1111,4.2,94,Case Mania,MercadoLíder,MG,Belo Horizonte,False,9,True,165,2026-01-28
MLB-0182,Mercado Livre,Capa Protetora realme 12 Anti-Risco Espelhada Silicone com MagSafe - realme,realme,realme 12,Silicone com MagSafe,Laranja,Novo,77.7,,1110,4.3,40,Brasil Case Center,Vendedor,RJ,Campos dos Goytacazes,True,,,178,2025-09-07
MLB-0573,Mercado Livre,Capinha Galaxy S25 Com Desenho Antichoque Policarbonato Verde - Samsung,Samsung,Galaxy S25,Policarbonato,Verde,Novo,9.9,,1101,4.8,95,Case Store Brasil,Loja Oficial,PR,Londrina,True,12,True,196,2026-01-11
MLB-0184,Mercado Livre,Case Xiaomi 14 Lisa Silicone Branco - Xiaomi,Xiaomi,Xiaomi 14,Silicone,Branco,Novo,27.9,,1094,4.9,115,Capinha Express,Loja Oficial,MG,Belo Horizonte,False,3,True,169,2025-07-14
MLB-0517,Mercado Livre,Case Galaxy M15 Anti-Risco Com Desenho Silicone com MagSafe - Samsung,Samsung,Galaxy M15,Silicone com MagSafe,Verde,Novo,61.5,104.9,1087,4.2,113,Brasil Case Center,Vendedor,RJ,Campos dos Goytacazes,True,9,True,15,2026-01-26
MLB-0420,Mercado Livre,Case Galaxy M15 Camuflada Silicone Silicone,Samsung,Galaxy M15,Silicone,Transparente,Novo,49.9,,1077,4.9,127,Max Acessórios,Loja Oficial,SP,Osasco,True,,,98,2026-04-27
